dish_family_id,category_id,is_primary
fam-wd-q1094305,cat-burgers-09c6dfae,true
fam-wd-q378341,cat-pasta-dishes-18ec3e4d,true
fam-wd-q2495505,cat-pasta-dishes-18ec3e4d,true
fam-wd-q11339918,cat-pasta-dishes-18ec3e4d,true
fam-wd-q12971248,cat-pasta-dishes-18ec3e4d,true
fam-wd-q18883046,cat-stews-ce00fa93,true
fam-wd-q6747617,cat-soups-58c2caa7,true
fam-wd-q13013369,cat-rice-dishes-e5a0eea5,true
fam-wd-q137908295,cat-soups-58c2caa7,true
fam-wd-q6789614,cat-vegetable-and-legume-mains-b836795b,true
fam-wd-q5367573,cat-pies-and-pastries-eefde59e,true
fam-wd-q97101726,cat-noodle-dishes-f57723d0,true
fam-wd-q6826082,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q19738539,cat-noodle-dishes-f57723d0,true
fam-wd-q6827067,cat-noodle-dishes-f57723d0,true
fam-wd-q16765345,cat-noodle-dishes-f57723d0,true
fam-wd-q130553333,cat-noodle-dishes-f57723d0,true
fam-wd-q4208661,cat-noodle-dishes-f57723d0,true
fam-wd-q26877970,cat-confections-and-sweets-33dd665f,true
fam-wd-q4293923,cat-salads-aa3e870c,true
fam-wd-q777487,cat-sauces-and-condiments-10f97308,true
fam-wd-q6904753,cat-sandwiches-116c3e15,true
fam-wd-q206918,cat-casseroles-and-bakes-43c0edef,true
fam-wd-q655235,cat-sandwiches-116c3e15,true
fam-wd-q20423491,cat-rice-dishes-e5a0eea5,true
fam-wd-q129900296,cat-puddings-and-custards-1664b0f1,true
fam-wd-q7000528,cat-soups-58c2caa7,true
fam-wd-q209486,cat-salads-aa3e870c,true
fam-wd-q85789410,cat-noodle-dishes-f57723d0,true
fam-wd-q25056844,cat-soups-58c2caa7,true
fam-wd-q19695011,cat-noodle-dishes-f57723d0,true
fam-wd-q26884006,cat-rice-dishes-e5a0eea5,true
fam-wd-q7079882,cat-soups-58c2caa7,true
fam-wd-q1136876,cat-noodle-dishes-f57723d0,true
fam-wd-q19573431,cat-soups-58c2caa7,true
fam-wd-q111283137,cat-breads-and-loaves-c2814f9c,true
fam-wd-q7087232,cat-breads-and-loaves-c2814f9c,true
fam-wd-q281278,cat-salads-aa3e870c,true
fam-wd-q23461185,cat-confections-and-sweets-33dd665f,true
fam-wd-q28224446,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q113070503,cat-soups-58c2caa7,true
fam-wd-q614757,cat-wraps-and-rolls-dd6f3471,true
fam-wd-q17109263,cat-soups-58c2caa7,true
fam-wd-q730298,cat-noodle-dishes-f57723d0,true
fam-wd-q212121,cat-rice-dishes-e5a0eea5,true
fam-wd-q17005230,cat-soups-58c2caa7,true
fam-wd-q44541,cat-pancakes-and-crepes-283edd96,true
fam-wd-q107358612,cat-pancakes-and-crepes-283edd96,true
fam-wd-q7132274,cat-noodle-dishes-f57723d0,true
fam-wd-q7142949,cat-pasta-dishes-18ec3e4d,true
fam-wd-q55641393,cat-pasta-dishes-18ec3e4d,true
fam-wd-q1761000,cat-pasta-dishes-18ec3e4d,true
fam-wd-q3897489,cat-pasta-dishes-18ec3e4d,true
fam-wd-q3897472,cat-pasta-dishes-18ec3e4d,true
