dish_family_id,technique_id,role,is_core,weight
fam-wd-q42417869,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q19712268,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q19712268,tec-steam-3f9d1489,core,true,0.850
fam-wd-q19712268,tec-rest-9a118f54,supporting,false,0.700
fam-wd-q5015278,tec-bake-6c2c6bda,core,true,0.850
fam-wd-q5015278,tec-gratin-fe263c69,supporting,false,0.700
fam-wd-q1302342,tec-braise-4a3832ff,core,true,0.850
fam-wd-q1302342,tec-slow-cook-101c2f4f,supporting,false,0.700
fam-wd-q627744,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q627744,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q627744,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q5016033,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q5016033,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q5016033,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q16850213,tec-grill-7732deea,core,true,0.850
fam-wd-q5016282,tec-grill-7732deea,core,true,0.850
fam-wd-q275508,tec-chop-1d857e6f,core,true,1.000
fam-wd-q275508,tec-dress-salad-91d1ae3a,core,true,0.850
fam-wd-q275508,tec-season-d2973ba3,supporting,false,0.700
fam-wd-q275508,tec-coat-pasta-0f9ce17f,supporting,false,0.550
fam-wd-q2080641,tec-sweat-aromatics-593b919d,core,true,1.000
fam-wd-q2080641,tec-braise-4a3832ff,core,true,0.850
fam-wd-q2080641,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q5055611,tec-marinate-859deca1,core,true,1.000
fam-wd-q5055611,tec-grill-7732deea,core,true,0.850
fam-wd-q5055611,tec-baste-10f9f578,supporting,false,0.700
fam-wd-q1139527,tec-fill-crepes-6bab5c44,core,true,1.000
fam-wd-q1139527,tec-roll-82a127e4,core,true,0.850
fam-wd-q1139527,tec-stuff-996e573e,supporting,false,0.700
fam-wd-q21087825,tec-boil-29213ba5,core,true,1.000
fam-wd-q21087825,tec-stir-fry-ee979e71,core,true,0.850
fam-wd-q21087825,tec-season-to-finish-6e59cbba,supporting,false,0.700
fam-wd-q18638792,tec-sweat-aromatics-593b919d,core,true,1.000
fam-wd-q18638792,tec-braise-4a3832ff,core,true,0.850
fam-wd-q18638792,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q28209622,tec-caramelize-d17b034e,core,true,1.000
fam-wd-q28209622,tec-crystallize-5937cbc3,core,true,0.850
fam-wd-q7212986,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q7212986,tec-puree-c8c7256b,core,true,0.850
fam-wd-q7212986,tec-season-to-finish-6e59cbba,supporting,false,0.700
fam-wd-q61743260,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q61743260,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q61743260,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q568364,tec-chop-1d857e6f,core,true,1.000
fam-wd-q568364,tec-dress-salad-91d1ae3a,core,true,0.850
fam-wd-q568364,tec-season-d2973ba3,supporting,false,0.700
fam-wd-q568364,tec-coat-pasta-0f9ce17f,supporting,false,0.550
fam-wd-q876624,tec-boil-29213ba5,core,true,1.000
fam-wd-q876624,tec-coat-pasta-0f9ce17f,core,true,0.850
fam-wd-q876624,tec-emulsify-bd4af416,supporting,false,0.700
fam-wd-q136393820,tec-braise-4a3832ff,core,true,0.850
fam-wd-q136393820,tec-slow-cook-101c2f4f,supporting,false,0.700
fam-wd-q3661967,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q3661967,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q3661967,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q3661969,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q3661969,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q3661969,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q85750898,tec-chop-1d857e6f,core,true,1.000
fam-wd-q85750898,tec-dress-salad-91d1ae3a,core,true,0.850
fam-wd-q85750898,tec-season-d2973ba3,supporting,false,0.700
fam-wd-q3662049,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q3662049,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q3662049,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q109353074,tec-knead-4eb20c7d,core,true,1.000
fam-wd-q109353074,tec-proof-24fa378d,core,true,0.850
fam-wd-q109353074,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q109353074,tec-toast-spices-1bf6f315,supporting,false,0.550
fam-wd-q1057953,tec-chop-1d857e6f,core,true,1.000
fam-wd-q1057953,tec-dress-salad-91d1ae3a,core,true,0.850
fam-wd-q1057953,tec-season-d2973ba3,supporting,false,0.700
fam-wd-q703286,tec-boil-29213ba5,core,true,1.000
fam-wd-q703286,tec-stir-fry-ee979e71,core,true,0.850
fam-wd-q703286,tec-season-to-finish-6e59cbba,supporting,false,0.700
fam-wd-q703286,tec-steam-3f9d1489,supporting,false,0.550
fam-wd-q2955932,tec-toast-spices-1bf6f315,core,true,1.000
fam-wd-q2955932,tec-braise-4a3832ff,core,true,0.850
fam-wd-q2955932,tec-griddle-717e3046,supporting,false,0.700
fam-wd-q1061604,tec-bloom-spices-969673dd,core,true,1.000
fam-wd-q1061604,tec-simmer-4a118b1f,core,true,0.850
fam-wd-q1061604,tec-finish-with-herbs-a5755269,supporting,false,0.700
fam-wd-q28169436,tec-marinate-859deca1,core,true,1.000
fam-wd-q28169436,tec-grill-7732deea,core,true,0.850
fam-wd-q28169436,tec-baste-10f9f578,supporting,false,0.700
fam-wd-q7185336,tec-simmer-4a118b1f,core,true,1.000
