id,slug,name,normalized_name,description,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title,dbpedia_uri,popularity_rank,created_at,updated_at
fam-wd-q108905093,dalgona,dalgona,dalgona,Canonical starter dish entry for dalgona. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q108905093,Dalgona,,563,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q7780958,dali-ni-horbo,Dali ni Horbo,dali ni horbo,Canonical starter dish entry for Dali ni Horbo. Associated cuisine: Batak cuisine. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q787497,Q7780958,Dali ni horbo,,564,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q107007191,dambu,dambu,dambu,Canonical starter dish entry for dambu. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q7033037,Q107007191,Dambou,,565,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q1137315,dame-blanche,Dame blanche,dame blanche,Canonical starter dish entry for Dame blanche. Origin: France. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q6661,Q1137315,Dame blanche (dessert),,567,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q19851743,danbing,Danbing,danbing,Canonical starter dish entry for Danbing. Origin: Taiwan. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q707908,Q19851743,Danbing,,568,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q107357106,danwake,danwake,danwake,Canonical starter dish entry for danwake. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q7033037,Q107357106,Dan wake,,569,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q10896709,daoxiao-mian,dāoxiāo miàn,daoxiao mian,Canonical starter dish entry for dāoxiāo miàn. Origin: People's Republic of China. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q10896709,Knife-cut noodles,,570,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q85755689,daral,Daral,daral,Canonical starter dish entry for Daral. Origin: Philippines. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q1520796,Q85755689,Daral (food),,571,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q10936666,dazhu-gansi,Dazhu gansi,dazhu gansi,Canonical starter dish entry for Dazhu gansi. Associated cuisine: Huaiyang cuisine. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q10936666,Dazhu gansi,,572,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q132175543,dek-akeo,Dek Akeo,dek akeo,Canonical starter dish entry for Dek Akeo. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q132175543,Dek Akeo,,573,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5253615,delele,Delele,delele,Canonical starter dish entry for Delele. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q5253615,Delele,,574,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q12481254,dengke-mas-naniura,Dengke Mas Naniura,dengke mas naniura,Canonical starter dish entry for Dengke Mas Naniura. Associated cuisine: Indonesian cuisine. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q787497,Q12481254,Dengke mas naniura,,575,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5259648,dentyne,Dentyne,dentyne,Canonical starter dish entry for Dentyne. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q5259648,Dentyne,,576,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q104864044,desperation-pie,Desperation pie,desperation pie,Canonical starter dish entry for Desperation pie. Associated cuisine: cuisine of the United States. Origin: United States. Seeded from Wikidata with an English Wikipedia sitelink.,cat-pies-and-pastries-eefde59e,cui-american-60d23958,Q104864044,Desperation pies,,577,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q12411608,devils-on-horseback,devils on horseback,devils on horseback,Canonical starter dish entry for devils on horseback. Origin: United Kingdom. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q918277,Q12411608,Devils on horseback,,578,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q10296519,dezhou-braised-chicken,Dezhou braised chicken,dezhou braised chicken,Canonical starter dish entry for Dezhou braised chicken. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q10296519,Dezhou braised chicken,,579,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q2723965,dhansak,Dhansak,dhansak,Canonical starter dish entry for Dhansak. Associated cuisine: Parsi cuisine. Origin: India. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q192087,Q2723965,Dhansak,,580,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q171983,dhokla,dhokla,dhokla,Canonical starter dish entry for dhokla. Associated cuisine: Gujarati cuisine. Origin: India. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q192087,Q171983,Dhokla,,581,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q3026484,dibi,Dibi,dibi,Canonical starter dish entry for Dibi. Origin: Senegal. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q3026484,Dibi (food),,582,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q1228260,dirty-rice,Dirty rice,dirty rice,Canonical starter dish entry for Dirty rice. Associated cuisine: cuisine of the United States. Seeded from Wikidata with an English Wikipedia sitelink.,cat-rice-dishes-e5a0eea5,,Q1228260,Dirty rice,,583,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
