id,label,node_type,parent_id,cuisine_id,category_id,family_id,size_hint
dish-wd-q61360646,Akhni,dish,fam-wd-q61360646,,,fam-wd-q61360646,8
dish-wd-q24946983,Akhuni,dish,fam-wd-q24946983,,,fam-wd-q24946983,8
dish-wd-q11257037,Akindo Sushiro,dish,fam-wd-q11257037,cui-wd-q234138,,fam-wd-q11257037,8
dish-wd-q4701369,Akki rotti,dish,fam-wd-q4701369,cui-wd-q192087,,fam-wd-q4701369,8
dish-wd-q5662130,Alajú,dish,fam-wd-q5662130,cui-wd-q622512,,fam-wd-q5662130,8
dish-wd-q99654352,Åland pancake,dish,fam-wd-q99654352,,cat-pancakes-and-crepes-283edd96,fam-wd-q99654352,8
dish-wd-q30011777,albap,dish,fam-wd-q30011777,cui-wd-q647500,,fam-wd-q30011777,8
dish-wd-q110738684,Alentejano bread,dish,fam-wd-q110738684,cui-wd-q180817,cat-breads-and-loaves-c2814f9c,fam-wd-q110738684,8
dish-wd-q9601457,aletria,dish,fam-wd-q9601457,cui-wd-q180817,,fam-wd-q9601457,8
dish-wd-q96371762,Aligue fried rice,dish,fam-wd-q96371762,,cat-rice-dishes-e5a0eea5,fam-wd-q96371762,8
dish-wd-q127433632,Alivongvong,dish,fam-wd-q127433632,,,fam-wd-q127433632,8
dish-wd-q118901115,almond chicken,dish,fam-wd-q118901115,,,fam-wd-q118901115,8
dish-wd-q254807,Älplermagronen,dish,fam-wd-q254807,,,fam-wd-q254807,8
dish-wd-q4737104,Alu Potala Rasa,dish,fam-wd-q4737104,cui-wd-q192087,,fam-wd-q4737104,8
dish-wd-q133284186,Aluek trei ngeat,dish,fam-wd-q133284186,cui-wd-q139430,,fam-wd-q133284186,8
dish-wd-q4739207,Amala,dish,fam-wd-q4739207,cui-wd-q7033037,,fam-wd-q4739207,8
dish-wd-q997633,amatriciana sauce,dish,fam-wd-q997633,cui-wd-q192786,cat-sauces-and-condiments-10f97308,fam-wd-q997633,8
dish-wd-q9611817,Amêijoas à Bulhão Pato,dish,fam-wd-q9611817,cui-wd-q180817,,fam-wd-q9611817,8
dish-wd-q30890348,Amich,dish,fam-wd-q30890348,cui-wd-q684343,,fam-wd-q30890348,8
dish-wd-q107489664,Amiwô,dish,fam-wd-q107489664,,,fam-wd-q107489664,8
dish-wd-q2286933,Amsterdam ossenworst,dish,fam-wd-q2286933,,,fam-wd-q2286933,8
dish-wd-q481774,amuse-bouche,dish,fam-wd-q481774,cui-wd-q6661,,fam-wd-q481774,8
dish-wd-q4754282,Andes Chocolate Mints,dish,fam-wd-q4754282,,cat-confections-and-sweets-33dd665f,fam-wd-q4754282,8
dish-wd-q2849577,angels on horseback,dish,fam-wd-q2849577,,,fam-wd-q2849577,8
dish-wd-q16301690,Angus burger,dish,fam-wd-q16301690,,cat-burgers-09c6dfae,fam-wd-q16301690,8
dish-wd-q137690873,Anishi,dish,fam-wd-q137690873,,,fam-wd-q137690873,8
dish-wd-q6821745,Ansungtangmyun,dish,fam-wd-q6821745,cui-wd-q647500,,fam-wd-q6821745,8
dish-wd-q864174,ants climbing a tree,dish,fam-wd-q864174,,cat-noodle-dishes-f57723d0,fam-wd-q864174,8
dish-wd-q25064159,Apfelküchle,dish,fam-wd-q25064159,cui-wd-q47629,,fam-wd-q25064159,8
dish-wd-q85742197,Apio,dish,fam-wd-q85742197,,,fam-wd-q85742197,8
dish-wd-q24839104,Apple Bread,dish,fam-wd-q24839104,,cat-breads-and-loaves-c2814f9c,fam-wd-q24839104,8
dish-wd-q111913468,apple crumble,dish,fam-wd-q111913468,cui-wd-q918277,,fam-wd-q111913468,8
dish-wd-q4782215,Apteekin salmiakki,dish,fam-wd-q4782215,,,fam-wd-q4782215,8
dish-wd-q123256158,Areias,dish,fam-wd-q123256158,cui-wd-q180817,,fam-wd-q123256158,8
dish-wd-q11113287,Arem-Arem,dish,fam-wd-q11113287,cui-wd-q787497,,fam-wd-q11113287,8
dish-wd-q642702,arepa,dish,fam-wd-q642702,cui-wd-q909057,,fam-wd-q642702,8
dish-wd-q135319281,Arganak,dish,fam-wd-q135319281,,,fam-wd-q135319281,8
dish-wd-q12808559,Arnavut ciğeri,dish,fam-wd-q12808559,cui-wd-q654493,,fam-wd-q12808559,8
dish-wd-q100258740,Arook,dish,fam-wd-q100258740,cui-wd-q1036498,,fam-wd-q100258740,8
dish-wd-q3462362,Arròs a banda,dish,fam-wd-q3462362,,,fam-wd-q3462362,8
dish-wd-q703832,arroz de marisco,dish,fam-wd-q703832,cui-wd-q180817,,fam-wd-q703832,8
dish-wd-q19872588,Arroz negro,dish,fam-wd-q19872588,,,fam-wd-q19872588,8
dish-wd-q4796545,Arsik,dish,fam-wd-q4796545,cui-wd-q787497,,fam-wd-q4796545,8
dish-wd-q720254,asado,dish,fam-wd-q720254,cui-wd-q579500,,fam-wd-q720254,8
dish-wd-q4803469,asam pedas,dish,fam-wd-q4803469,cui-wd-q787497,,fam-wd-q4803469,8
dish-wd-q122999857,Asaro,dish,fam-wd-q122999857,cui-wd-q7033037,,fam-wd-q122999857,8
dish-wd-q137217603,Ashoka Halwa,dish,fam-wd-q137217603,cui-wd-q192087,,fam-wd-q137217603,8
dish-wd-q2984652,Asida,dish,fam-wd-q2984652,,,fam-wd-q2984652,8
dish-wd-q837480,aspic,dish,fam-wd-q837480,,,fam-wd-q837480,8
dish-wd-q136922,aşure,dish,fam-wd-q136922,,,fam-wd-q136922,8
dish-wd-q30592390,Atama soup,dish,fam-wd-q30592390,cui-wd-q7033037,cat-soups-58c2caa7,fam-wd-q30592390,8
dish-wd-q951525,Avial,dish,fam-wd-q951525,cui-wd-q192087,,fam-wd-q951525,8
dish-wd-q16836245,Ayam goreng,dish,fam-wd-q16836245,cui-wd-q787497,,fam-wd-q16836245,8
dish-wd-q17998502,ayam goreng Kalasan,dish,fam-wd-q17998502,cui-wd-q787497,,fam-wd-q17998502,8
dish-wd-q85744456,Ayam kodok,dish,fam-wd-q85744456,cui-wd-q787497,,fam-wd-q85744456,8
dish-wd-q28163731,Ayam masak kicap,dish,fam-wd-q28163731,cui-wd-q787497,,fam-wd-q28163731,8
dish-wd-q65210405,Ayam panggang,dish,fam-wd-q65210405,cui-wd-q787497,,fam-wd-q65210405,8
dish-wd-q7309235,Ayam pansuh,dish,fam-wd-q7309235,cui-wd-q772247,,fam-wd-q7309235,8
dish-wd-q2428787,ayam Taliwang,dish,fam-wd-q2428787,cui-wd-q787497,,fam-wd-q2428787,8
dish-wd-q192892,ayran,dish,fam-wd-q192892,cui-wd-q9943666,,fam-wd-q192892,8
dish-wd-q4833788,B.C. roll,dish,fam-wd-q4833788,cui-wd-q1324207,cat-wraps-and-rolls-dd6f3471,fam-wd-q4833788,8
dish-wd-q17032101,Baba,dish,fam-wd-q17032101,,,fam-wd-q17032101,8
dish-wd-q84564532,Baba de camelo,dish,fam-wd-q84564532,cui-wd-q180817,,fam-wd-q84564532,8
dish-wd-q43768843,Babarsa,dish,fam-wd-q43768843,,,fam-wd-q43768843,8
dish-wd-q65117391,Babbouche,dish,fam-wd-q65117391,cui-wd-q1150262,,fam-wd-q65117391,8
dish-wd-q113291374,babelutte,dish,fam-wd-q113291374,cui-belgian-f69a2115,,fam-wd-q113291374,8
dish-wd-q28163754,babi kecap,dish,fam-wd-q28163754,cui-wd-q787497,,fam-wd-q28163754,8
dish-wd-q119828752,babka,dish,fam-wd-q119828752,,,fam-wd-q119828752,8
