dish_family_id,cuisine_id,relation_kind
fam-wd-q2632589,cui-wd-q756020,associated
fam-wd-q872625,cui-wd-q47629,associated
fam-wd-q60776617,cui-wd-q1520796,associated
fam-wd-q1684997,cui-wd-q787497,associated
fam-wd-q2414031,cui-wd-q787497,associated
fam-wd-q2894864,cui-wd-q6661,associated
fam-wd-q1202255,cui-american-60d23958,associated
fam-wd-q586307,cui-wd-q1036498,associated
fam-wd-q1868851,cui-wd-q749847,associated
fam-wd-q1683716,cui-wd-q787497,associated
fam-wd-q16738075,cui-wd-q787497,associated
fam-wd-q14918748,cui-wd-q787497,associated
fam-wd-q4103061,cui-wd-q787497,associated
fam-wd-q4202016,cui-wd-q787497,associated
fam-wd-q1094305,cui-american-60d23958,associated
fam-wd-q16664232,cui-wd-q1150262,associated
fam-wd-q378341,cui-wd-q918277,associated
fam-wd-q12971248,cui-wd-q192786,associated
fam-wd-q60760532,cui-wd-q1520796,associated
fam-wd-q9026659,cui-wd-q654493,associated
fam-wd-q12496028,cui-wd-q787497,associated
fam-wd-q6729605,cui-wd-q192087,associated
fam-wd-q535064,cui-wd-q744027,associated
fam-wd-q17634577,cui-wd-q3006881,associated
fam-wd-q96742825,cui-wd-q787497,associated
fam-wd-q6738866,cui-wd-q647500,associated
fam-wd-q20060232,cui-wd-q2234037,associated
fam-wd-q1887892,cui-wd-q42029,associated
fam-wd-q13018870,cui-wd-q841984,associated
fam-wd-q6747617,cui-wd-q192087,associated
fam-wd-q28154305,cui-wd-q192087,associated
fam-wd-q60740781,cui-wd-q1520796,associated
fam-wd-q3286616,cui-wd-q622512,associated
fam-wd-q12496810,cui-wd-q787497,associated
