from_dish_id,to_dish_id,relation_type,weight
dish-mohinga-b6a4ff33,dish-mont-di-3526da91,same_category_neighbor,0.350
dish-mont-di-3526da91,dish-nan-gyi-thohk-5f3f9ada,same_category_neighbor,0.350
dish-nan-gyi-thohk-5f3f9ada,dish-ohn-no-khao-swe-87b1e41f,same_category_neighbor,0.350
dish-ohn-no-khao-swe-87b1e41f,dish-sigyet-khauk-swe-904818fa,same_category_neighbor,0.350
dish-sigyet-khauk-swe-904818fa,dish-banh-kanh-e8487094,same_category_neighbor,0.350
dish-banh-kanh-e8487094,dish-kuyteav-59245d18,same_category_neighbor,0.350
dish-kuyteav-59245d18,dish-batchoy-286d355a,same_category_neighbor,0.350
dish-batchoy-286d355a,dish-kinalas-eafa8d24,same_category_neighbor,0.350
dish-kinalas-eafa8d24,dish-lomi-45e6a888,same_category_neighbor,0.350
dish-lomi-45e6a888,dish-mami-soup-24bc4c1f,same_category_neighbor,0.350
dish-mami-soup-24bc4c1f,dish-odong-2163a1e7,same_category_neighbor,0.350
dish-odong-2163a1e7,dish-pancit-canton-1d2ac036,same_category_neighbor,0.350
dish-pancit-canton-1d2ac036,dish-pancit-choca-9e7e7448,same_category_neighbor,0.350
dish-pancit-choca-9e7e7448,dish-pancit-bihon-c8b85750,same_category_neighbor,0.350
dish-pancit-bihon-c8b85750,dish-pancit-estacion-897b41c9,same_category_neighbor,0.350
dish-pancit-estacion-897b41c9,dish-pancit-luglug-4b57f7c5,same_category_neighbor,0.350
dish-pancit-luglug-4b57f7c5,dish-pancit-molo-4244a2ed,same_category_neighbor,0.350
dish-pancit-molo-4244a2ed,dish-pancit-miki-83088799,same_category_neighbor,0.350
dish-pancit-miki-83088799,dish-pancit-palabok-c98ecef6,same_category_neighbor,0.350
dish-pancit-palabok-c98ecef6,dish-sopa-de-fideo-fb30790c,same_category_neighbor,0.350
dish-sopa-de-fideo-fb30790c,dish-bihun-goreng-237286ac,same_category_neighbor,0.350
dish-bihun-goreng-237286ac,dish-char-kway-teow-56b0b7f1,same_category_neighbor,0.350
dish-char-kway-teow-56b0b7f1,dish-kwetiau-ayam-9a743136,same_category_neighbor,0.350
dish-kwetiau-ayam-9a743136,dish-kwetiau-goreng-a4f1c509,same_category_neighbor,0.350
dish-kwetiau-goreng-a4f1c509,dish-beef-kway-teow-19237ecf,same_category_neighbor,0.350
dish-beef-kway-teow-19237ecf,dish-laksa-cc9bca99,same_category_neighbor,0.350
dish-laksa-cc9bca99,dish-lakso-5d51fdea,same_category_neighbor,0.350
dish-lakso-5d51fdea,dish-mie-aceh-42b65b20,same_category_neighbor,0.350
dish-mie-aceh-42b65b20,dish-mie-bakso-b85d7ec5,same_category_neighbor,0.350
dish-mie-bakso-b85d7ec5,dish-mie-cakalang-9735a007,same_category_neighbor,0.350
dish-mie-cakalang-9735a007,dish-mie-caluk-dc7f5251,same_category_neighbor,0.350
dish-mie-caluk-dc7f5251,dish-mie-combor-9889bf49,same_category_neighbor,0.350
dish-mie-combor-9889bf49,dish-mie-gomak-a81fee7f,same_category_neighbor,0.350
dish-mie-gomak-a81fee7f,dish-mie-goreng-cbaeed78,same_category_neighbor,0.350
dish-mie-goreng-cbaeed78,dish-wd-q111604426,same_category_neighbor,0.350
dish-wd-q111604426,dish-mie-ikan-8028a52f,same_category_neighbor,0.350
dish-mie-ikan-8028a52f,dish-mie-jawa-a62fab35,same_category_neighbor,0.350
dish-mie-jawa-a62fab35,dish-rujak-c7834094,same_category_neighbor,0.350
dish-rujak-c7834094,dish-curry-mee-a0fd0daf,same_category_neighbor,0.350
dish-curry-mee-a0fd0daf,dish-mie-kangkung-1a90c8fb,same_category_neighbor,0.350
dish-mie-kangkung-1a90c8fb,dish-mie-kering-88d2d70a,same_category_neighbor,0.350
dish-mie-kering-88d2d70a,dish-mie-koclok-4e8f642f,same_category_neighbor,0.350
dish-mie-koclok-4e8f642f,dish-mie-kocok-1908e108,same_category_neighbor,0.350
dish-mie-kocok-1908e108,dish-mie-kopyok-6f94c005,same_category_neighbor,0.350
dish-mie-kopyok-6f94c005,dish-mie-kuah-0900b5f6,same_category_neighbor,0.350
dish-mie-kuah-0900b5f6,dish-wonton-noodle-6e2129d1,same_category_neighbor,0.350
dish-wonton-noodle-6e2129d1,dish-mie-rebus-30c626e2,same_category_neighbor,0.350
dish-mie-rebus-30c626e2,dish-mie-tarempa-10019b1d,same_category_neighbor,0.350
dish-mie-tarempa-10019b1d,dish-tinutuan-3ac3a08d,same_category_neighbor,0.350
dish-tinutuan-3ac3a08d,dish-wd-q7695520,same_category_neighbor,0.350
dish-wd-q7695520,dish-soto-mie-f93f18a2,same_category_neighbor,0.350
dish-soto-mie-f93f18a2,dish-khao-poon-aa366719,same_category_neighbor,0.350
dish-khao-poon-aa366719,dish-khao-soi-fcac195f,same_category_neighbor,0.350
dish-khao-soi-fcac195f,dish-feu-food-12cd3836,same_category_neighbor,0.350
dish-feu-food-12cd3836,dish-lard-na-17a9bfd5,same_category_neighbor,0.350
dish-lard-na-17a9bfd5,dish-khao-piak-sen-22ed2a6d,same_category_neighbor,0.350
dish-khao-piak-sen-22ed2a6d,dish-duck-soup-noodles-a72aa514,same_category_neighbor,0.350
dish-duck-soup-noodles-a72aa514,dish-hae-mee-0601f718,same_category_neighbor,0.350
