entity_type,entity_id,alias,normalized_alias,language_code,source_id,is_preferred
ingredient,ing-mealdb-144,Fresh Thyme,fresh thyme,en,src-mealdb,true
ingredient,ing-mealdb-145,Freshly Chopped Parsley,freshly chopped parsley,en,src-mealdb,true
ingredient,ing-mealdb-146,Fries,fries,en,src-mealdb,true
ingredient,ing-mealdb-147,Full Fat Yogurt,full fat yogurt,en,src-mealdb,true
ingredient,ing-mealdb-148,Garam Masala,garam masala,en,src-mealdb,true
ingredient,ing-mealdb-149,Garlic,garlic,en,src-mealdb,true
ingredient,ing-mealdb-150,Garlic Clove,garlic clove,en,src-mealdb,true
ingredient,ing-mealdb-150,<http://purl.obolibrary.org/obo/NCBITaxon_4682>,http purl obolibrary org obo ncbitaxon 4682,en,src-foodon,false
ingredient,ing-mealdb-151,Garlic Powder,garlic powder,en,src-mealdb,true
ingredient,ing-mealdb-152,Garlic Sauce,garlic sauce,en,src-mealdb,true
ingredient,ing-mealdb-153,Ghee,ghee,en,src-mealdb,true
ingredient,ing-mealdb-154,Ginger,ginger,en,src-mealdb,true
ingredient,ing-mealdb-155,Ginger Cordial,ginger cordial,en,src-mealdb,true
ingredient,ing-mealdb-156,Ginger Garlic Paste,ginger garlic paste,en,src-mealdb,true
ingredient,ing-mealdb-157,Ginger Paste,ginger paste,en,src-mealdb,true
ingredient,ing-mealdb-158,Golden Syrup,golden syrup,en,src-mealdb,true
ingredient,ing-mealdb-159,Gouda Cheese,gouda cheese,en,src-mealdb,true
ingredient,ing-mealdb-160,Granulated Sugar,granulated sugar,en,src-mealdb,true
ingredient,ing-mealdb-161,Grape Tomatoes,grape tomatoes,en,src-mealdb,true
ingredient,ing-mealdb-162,Greek Yogurt,greek yogurt,en,src-mealdb,true
ingredient,ing-mealdb-163,Green Beans,green beans,en,src-mealdb,true
ingredient,ing-mealdb-165,Green Chilli,green chilli,en,src-mealdb,true
ingredient,ing-mealdb-166,Green Olives,green olives,en,src-mealdb,true
ingredient,ing-mealdb-167,Green Red Lentils,green red lentils,en,src-mealdb,true
ingredient,ing-mealdb-168,Green Salsa,green salsa,en,src-mealdb,true
